1,Female,25,2016_Apr_06_1442,m
2,Female,27,2016_Apr_06_1443,m
3,Female,33,2016_Apr_06_1713,m
4,Female,26,2016_Apr_07_1003,m
5,Male,27,2016_Apr_07_1004,m
6,Male,21,2016_Apr_07_1306,m
7,Female,20,2016_Apr_07_1306,m
8,Female,20,2016_Apr_07_1420,m
9,Male,19,2016_Apr_07_1420,m
10,Female,23,2016_Apr_07_1433,m
11,Female,25,2016_Apr_11_1009,m
12,Female,18,2016_Apr_11_1121,m
13,Male,21,2016_Apr_11_1121,m
14,Female,23,2016_Apr_11_1309,m
15,Female,18,2016_Apr_11_1314,m
16,Female,22,2016_Apr_11_1421,z
17,Male,20,2016_Apr_11_1421,z
18,Female,23,2016_Apr_11_1533,z
19,Female,20,2016_Apr_11_1533,z
20,Female,24,2016_Apr_12_1005,z
21,Female,21,2016_Apr_12_1005,z
22,Female,23,2016_Apr_12_1118,z
23,Female,19,2016_Apr_12_1303,z
24,Female,23,2016_Apr_12_1422,z
25,Female,23,2016_Apr_12_1423,z
26,Male,19,2016_Apr_12_1539,z
27,Female,18,2016_Apr_13_1008,z
28,Female,25,2016_Apr_13_1021,z
29,Female,23,2016_Apr_13_1128,z
30,Female,22,2016_Apr_13_1128,z
31,Female,21,2016_Apr_13_1302,z
